retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25,850,212500,74375,35,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35,850,297500,104125,35,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35,675,236250,82688,35,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98438,45,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40,500,200000,60000,30,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35,700,245000,122500,50,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30,875,262500,91875,35,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40,875,350000,122500,35,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35,700,245000,85750,35,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000,45,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45,500,225000,67500,30,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40,650,260000,130000,50,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30,900,270000,94500,35,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40,900,360000,126000,35,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35,725,253750,88813,35,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40,625,250000,112500,45,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45,525,236250,70875,30,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40,800,320000,160000,50,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30,925,277500,97125,35,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40,925,370000,129500,35,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35,775,271250,94938,35,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,45,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45,600,270000,81000,30,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40,950,380000,190000,50,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,35,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,35,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40,800,320000,112000,35,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40,750,300000,135000,45,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45,650,292500,87750,30,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50,1000,500000,250000,50,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,35,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,35,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,35,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,45,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45,700,315000,94500,30,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50,975,487500,243750,50,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40,925,370000,129500,35,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45,925,416250,145688,35,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,35,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000,45,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45,650,292500,87750,30,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50,900,450000,225000,50,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45,850,382500,133875,35,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45,850,382500,133875,35,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50,900,450000,157500,35,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625,45,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45,625,281250,84375,30,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55,850,467500,233750,50,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45,800,360000,126000,35,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45,800,360000,126000,35,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50,750,375000,131250,35,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000,45,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45,575,258750,77625,30,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55,750,412500,206250,50,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,35,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45,900,405000,141750,35,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50,825,412500,144375,35,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875,45,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45,650,292500,87750,30,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55,850,467500,233750,50,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45,950,427500,149625,35,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,35,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50,850,425000,148750,35,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500,45,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45,650,292500,87750,30,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55,900,495000,247500,50,Outlet
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500,35,Outlet
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,20,Outlet
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,35,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750,30,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55,575,316250,158125,50,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50,775,387500,58125,15,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40,825,330000,115500,35,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50,725,362500,72500,20,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50,725,362500,126875,35,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250,30,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55,500,275000,137500,50,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50,700,350000,52500,15,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50,850,425000,148750,35,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60,700,420000,84000,20,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60,700,420000,147000,35,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000,30,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65,500,325000,162500,50,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60,700,420000,63000,15,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60,875,525000,183750,35,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65,675,438750,87750,20,Outlet
Amazon,1185732,2021-07-20,West,Alaska,Anchorage,Women's Apparel,67,130,8710,3920,45,Online
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65,725,471250,164938,35,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500,30,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65,525,341250,170625,50,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80,700,560000,84000,15,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60,900,540000,216000,40,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,25,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,40,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,35,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65,550,357500,196625,55,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80,725,580000,116000,20,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,40,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65,825,536250,134063,25,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65,825,536250,214500,40,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000,35,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65,575,373750,205563,55,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80,875,700000,140000,20,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60,1025,615000,215250,35,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65,875,568750,113750,20,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65,825,536250,187688,35,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60,725,435000,130500,30,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65,775,503750,251875,50,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80,775,620000,93000,15,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65,975,633750,221813,35,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70,925,647500,129500,20,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65,800,520000,182000,35,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65,750,487500,146250,30,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75,750,562500,281250,50,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80,725,580000,87000,15,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55,925,508750,152625,30,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60,925,555000,83250,15,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,30,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55,725,398750,99688,25,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65,725,471250,212063,45,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70,775,542500,54250,10,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,30,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,15,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55,700,385000,115500,30,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55,675,371250,92813,25,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65,650,422500,190125,45,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70,700,490000,49000,10,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,30,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,15,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,55,725,398750,119625,30,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55,700,385000,96250,25,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,65,650,422500,190125,45,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,70,775,542500,54250,10,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,55,975,536250,160875,30,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60,975,585000,87750,15,Outlet
West Gear,1128299,2021-02-13,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,30,Outlet
West Gear,1128299,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55,775,426250,106563,25,Outlet
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,65,700,455000,204750,45,Outlet
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Apparel,70,800,560000,56000,10,Outlet
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,35,700,245000,98000,40,Outlet
Kohl's,1189833,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45,700,315000,78750,25,Outlet
Kohl's,1189833,2021-03-09,West,California,San Francisco,Women's Street Footwear,45,700,315000,126000,40,Outlet
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45,550,247500,86625,35,Outlet
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,50,500,250000,137500,55,Outlet
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,45,700,315000,63000,20,Outlet
Kohl's,1189833,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35,750,262500,105000,40,Outlet
Kohl's,1189833,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,45,650,292500,73125,25,Outlet
Kohl's,1189833,2021-03-15,West,California,Los Angeles,Women's Street Footwear,45,675,303750,121500,40,Outlet
Kohl's,1189833,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,45,525,236250,82688,35,Outlet
Kohl's,1189833,2021-03-17,West,California,Los Angeles,Men's Apparel,50,450,225000,123750,55,Outlet
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,45,650,292500,58500,20,Outlet
Kohl's,1189833,2021-03-19,West,California,Los Angeles,Men's Street Footwear,35,800,280000,112000,40,Outlet
Kohl's,1189833,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,45,650,292500,73125,25,Outlet
Kohl's,1189833,2021-03-21,West,California,Los Angeles,Women's Street Footwear,45,650,292500,117000,40,Outlet
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,45,550,247500,86625,35,Outlet
Kohl's,1189833,2021-03-23,West,California,Los Angeles,Men's Apparel,50,425,212500,116875,55,Outlet
Kohl's,1189833,2021-04-06,West,California,Los Angeles,Women's Apparel,45,625,281250,56250,20,Outlet
Kohl's,1189833,2021-04-07,West,California,Los Angeles,Men's Street Footwear,45,800,360000,144000,40,Outlet
Kohl's,1189833,2021-04-08,West,California,Los Angeles,Men's Athletic Footwear,50,600,300000,75000,25,Outlet
Kohl's,1189833,2021-04-09,West,California,Los Angeles,Women's Street Footwear,50,625,312500,125000,40,Outlet
Kohl's,1189833,2021-04-10,West,California,Los Angeles,Women's Athletic Footwear,45,525,236250,82688,35,Outlet
Kohl's,1189833,2021-04-11,West,California,Los Angeles,Men's Apparel,50,425,212500,116875,55,Outlet
Kohl's,1189833,2021-04-12,West,California,Los Angeles,Women's Apparel,65,600,390000,78000,20,Outlet
Kohl's,1189833,2021-04-13,West,California,Los Angeles,Men's Street Footwear,45,800,360000,144000,40,Outlet
Kohl's,1189833,2021-04-14,West,California,Los Angeles,Men's Athletic Footwear,50,650,325000,81250,25,Outlet
Kohl's,1189833,2021-04-15,West,California,Los Angeles,Women's Street Footwear,50,650,325000,130000,40,Outlet
Kohl's,1189833,2021-04-16,West,California,Los Angeles,Women's Athletic Footwear,45,550,247500,86625,35,Outlet
Kohl's,1189833,2021-04-17,West,California,Los Angeles,Men's Apparel,50,450,225000,123750,55,Outlet
Kohl's,1189833,2021-04-18,West,California,Los Angeles,Women's Apparel,65,625,406250,81250,20,Outlet
Kohl's,1189833,2021-04-19,West,California,Los Angeles,Men's Street Footwear,45,900,405000,162000,40,Outlet
Kohl's,1189833,2021-04-20,West,California,Los Angeles,Men's Athletic Footwear,50,750,375000,93750,25,Outlet
Kohl's,1189833,2021-04-21,West,California,Los Angeles,Women's Street Footwear,50,750,375000,150000,40,Outlet
Kohl's,1189833,2021-04-22,West,California,Los Angeles,Women's Athletic Footwear,45,625,281250,98438,35,Outlet
Kohl's,1189833,2021-04-23,West,California,Los Angeles,Men's Apparel,50,500,250000,137500,55,Outlet
Kohl's,1189833,2021-04-24,West,California,Los Angeles,Women's Apparel,65,800,520000,104000,20,Outlet
Kohl's,1189833,2021-04-25,West,California,Los Angeles,Men's Street Footwear,45,950,427500,171000,40,Outlet
Kohl's,1189833,2021-04-26,West,California,Los Angeles,Men's Athletic Footwear,50,800,400000,100000,25,Outlet
Kohl's,1189833,2021-04-27,West,California,Los Angeles,Women's Street Footwear,50,750,375000,150000,40,Outlet
Kohl's,1189833,2021-04-28,West,California,Los Angeles,Women's Athletic Footwear,45,650,292500,102375,35,Outlet
Kohl's,1189833,2021-04-29,West,California,Los Angeles,Men's Apparel,50,700,350000,192500,55,Outlet
Kohl's,1189833,2021-04-30,West,California,Los Angeles,Women's Apparel,65,700,455000,91000,20,Outlet
Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,50,900,450000,180000,40,Outlet
